m,dm,mu,t,dt,df,k,m2,dm2,dmu,susc,rsw,rsw_check,growth_speed,dphi,drive
0.10558775000000001,0.01610523693887711,-6.4,178360.361386,1320.178976207969,0.0,1.0,0.021264250000000002,0.0069555703271062174,0.5,0.0101154770499375,40,True,0.000897060303963697,0.5735384597669748,0.5
0.10554525,0.012097210655329727,-6.35,148649.05917750002,1381.538474335337,0.0,1.0,0.016847,0.0031840533995650968,0.5,0.005707200202437502,40,True,0.001076360663735826,0.6233648000215924,0.5
0.08256825,0.008935347294181026,-6.3,122671.24717425,1895.7720642439908,0.0,1.0,0.009930749999999999,0.0017813082338659027,0.5,0.0031132340919374996,40,True,0.0013042991221302728,0.6731822690615017,0.5
0.09504657894736841,0.009854392116908382,-6.25,99620.15250105264,1785.4085798418164,0.0,1.0,0.012627105263157896,0.0026927964837640856,0.5,0.0035932530935595605,40,True,0.0016061007334666484,0.7229904154558686,0.5
0.08349756756756757,0.009820425368344595,-6.199999999999998,79124.00107297297,1960.7327649650415,0.0,1.0,0.010442972972972973,0.002382640763257539,0.5,0.0034711291832724613,40,True,0.0020221424325147343,0.7727887649846092,0.5
0.0698254054054054,0.0075235399409075785,-6.150000000000001,62665.98783135135,1533.7101581954403,0.0,1.0,0.006913513513513514,0.0012266621509058218,0.5,0.0020379262734842975,40,True,0.0025532191470530553,0.8225768195070647,0.5
0.06280970588235295,0.00945546868036128,-6.1,47705.94702147059,1217.5856818916254,0.0,1.0,0.006895882352941176,0.002241590667299269,0.5,0.0029508231999134937,40,True,0.0033538795473023572,0.8723540557765477,0.5
0.9645242499999999,0.0018634131176728872,-6.7,447474.50522724993,3193.7190430278147,0.0,1.0,0.9304415,0.0035672075114138203,1.0,0.00013447116193776587,40,True,0.00035756227032139853,0.25025169117766166,1.0
0.9402537499999999,0.0029453703064279014,-6.65,366003.91030625004,1680.9368537334738,0.0,1.0,0.88441575,0.005468157108666876,1.0,0.00033863561093760985,40,True,0.0004371537994392509,0.30012000225715135,1.0
0.8992584999999998,0.006151783091000362,-6.6,306066.6908725,1701.461693623306,0.0,1.0,0.81014275,0.010617688138604081,1.0,0.0014769001777502622,40,True,0.0005227618841628608,0.3499815801972389,1.0
0.8263830000000001,0.006568553895801669,-6.55,261049.84516275,1508.305966497968,0.0,1.0,0.6845912500000001,0.010777261004894899,1.0,0.0016823873109999,40,True,0.0006129097678654011,0.3998360817430278,1.0
0.7301491666666666,0.00774704834939955,-6.5,225432.9740383333,1142.5446560763874,0.0,1.0,0.5373791666666666,0.010990462408713987,1.0,0.004261361082638859,40,True,0.0007097453275526282,0.4496831462458373,1.0
0.6264480882352942,0.012581213406659346,-6.45,193706.84955308825,980.5737732474612,0.0,1.0,0.4030435294117647,0.014563133796288487,1.0,0.010606322158109749,40,True,0.0008259904095758349,0.49952239479284144,1.0
